file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
006ba5adc0ef4c35c01f318e6da10b35fb2f92da.cl,entry,9,18,1,0,0,0,0,9
006c1eaf7cb36d470d35a1845aa604ce64b26a58.cl,entry,97,150,1,0,0,0,0,97
006c24697530768d1c731d0596e893b9b9f04f2b.cl,entry,123,169,1,0,0,0,0,123
006f49be3ee6eee0067759531e394b78a11158f6.cl,entry,7,0,1,0,0,0,0,7
00700c18123a22b303906f78b471bd38a75945d7.cl,entry,40,57,1,0,0,0,0,40
00708ba0ff6377b9c216afd5d3ec63d2edd39a4b.cl,entry,7,0,1,0,0,0,0,7
007133d232c16dcbda2d3cf53a0f57fec42fc05d.cl,entry,7,9,1,0,0,0,0,7
0071bc80a6e2d48c726eb7ab2f4a6b23de27f4e3.cl,entry,10,20,1,0,0,0,0,10
00731b2e3100f96b73faa75d5d87c6697fa79428.cl,entry,53,82,1,0,0,0,0,53
007526bd27a69904b16d7daca4e84137d8099b94.cl,entry,238,418,1,0,0,0,0,238
00763eaaf5d4f38bb71f7be892b720e9276b7f2a.cl,entry,7,14,1,0,0,0,0,7
00770c24e869fb69e269a95e9740c51499d62201.cl,entry,26,30,1,0,0,0,0,26
007a17759bf44de65610077654e2cb544326110e.cl,entry,47,92,1,0,0,0,0,47
007baaaaaf0b4e24c9233a43a7d7badf02fa77ff.cl,entry,104,141,1,0,0,0,0,104
007cec38b9feecf8812968b90db4a979423feee4.cl,entry,17,15,1,0,0,0,0,17
007e470b5ff5bd55a426b18617e75f276b2c961c.cl,entry,25,47,1,0,0,0,0,25
007e5620468ba214348cbae5837ae0099e9eb0f5.cl,entry,7,0,1,0,0,0,0,7
00855c518518aefa49a89eb76887ac9a2c7fdb02.cl,entry,7,0,1,0,0,0,0,7
00866509599a406bef40ae20551ee32d848c53db.cl,entry,8,2,1,0,0,0,0,8
0087606affcb078d7c4987a22d62f523e39dba98.cl,entry,10,15,1,0,0,0,0,10
0088116643e50228b71b213aa403e7b187de951f.cl,entry,44,61,1,0,0,0,0,44
008913fb8a68ad7386f07ae4a605ef5df5d751df.cl,entry,83,111,1,0,0,0,0,83
008b3b0c293e4690490af61e46aced87cda92fb1.cl,entry,7,32,1,0,0,0,0,7
008cfcbba05ac2db0ec3758e3ad1ded061167ce3.cl,entry,255,273,1,0,0,0,0,255
008d02f76e97ab5d82e43608294935ff960f27cb.cl,entry,7,0,1,0,0,0,0,7
008d2d925ea33ac43e4a3a4bd91834069ba6d154.cl,entry,7,2,1,0,0,0,0,7
008dfeb5b7a75cd52b32f8279075f73f298fc0e1.cl,entry,7,1,1,0,0,0,0,7
008f31702952c396ff10937bea5aea86b5da174d.cl,entry,12,41,1,0,0,0,0,12
00901c51e107a8297992d85fd2f1f73cba0467b3.cl,entry,119,175,1,0,0,0,0,119
00902e588122bf975389555470c22a570969550b.cl,entry,338,406,1,0,0,0,0,338
0093312ee0280c533b9b9bac49e4fb0670fd7223.cl,entry,7,10,1,0,0,0,0,7
00952eb469f764bff2df6806841361f4fe6afc61.cl,entry,7,0,1,0,0,0,0,7
009647e49d581486230a7bab040051dd83406398.cl,entry,54,81,1,0,0,0,0,54
0096ae8ee32e495c4e9d758ecefee6b73459449c.cl,entry,267,343,1,0,0,0,0,267
00977c0b56de916fede0b0e52ce8ff88b8ee25e8.cl,entry,7,24,1,0,0,0,0,7
0098217022d3b5bd574ac540787f28bc8dce6edf.cl,entry,41,67,1,0,0,0,0,41
0098de5847bafda19678b86547993486239e2c63.cl,entry,28,33,1,0,0,0,0,28
00999ca084eff87a891c7c3030f515da73e7cb2d.cl,entry,8,28,1,0,0,0,0,8
009bec04531132fe63acee31b5f3eeded4db56aa.cl,entry,44,86,1,0,0,0,0,44
009ec254a75c7f00334625afd50b4899dc13dee2.cl,entry,7,24,1,0,0,0,0,7
009f9e651879e454d478f67547bd23db2adee9e3.cl,entry,21,42,1,0,0,0,0,21
00a1b3a7e27b66da36b6fef5be51eeba85c02bdb.cl,entry,18,22,1,0,0,0,0,18
00a263bbce6b3beb78a66c3a992f32cb969c8f8a.cl,entry,302,407,1,0,0,0,0,302
00a283b3001c31343188cf7ef5b8f6997ee42216.cl,entry,19,33,1,0,0,0,0,19
00a369f59c919aca5b45a19c16b27b2e3eb4747b.cl,entry,14,14,1,0,0,0,0,14
00a5924a60711e4c1bc8c11c3f642364311f09a4.cl,entry,7,0,1,0,0,0,0,7
00a6e284527da92bee342b77156ae472a73aff3a.cl,entry,8,32,1,0,0,0,0,8
00a91ab1781ee6ea7bb92772b6fa3476cf508eed.cl,entry,26,60,1,0,0,0,0,26
00aa715eb251c9e51a5f62d8521a0543771ab335.cl,entry,24,21,1,0,0,0,0,24
00ac250e26f5e3d026dcd32fe7820eb2917f13de.cl,entry,7,0,1,0,0,0,0,7
00ad6bfa245056872b47b24f9b6ae193a7da48ee.cl,entry,9,16,1,0,0,0,0,9
00ae8555908833f5241266bc656e9f2f63c177fa.cl,entry,23,55,1,0,0,0,0,23
00b0e2711363bf046cd44711122de3d1ab91981b.cl,entry,8,18,1,0,0,0,0,8
00b16ae43c7314f7c78a474fcf15a4b0e0d1ee04.cl,entry,21,38,1,0,0,0,0,21
00b3f74d2ae3963d68512c87d6941319411454f0.cl,entry,17,41,1,0,0,0,0,17
00b41dae50eed38a96d9a99417c8cd051b1d16ff.cl,entry,41,52,1,0,0,0,0,41
