file,kernel,comp,rational,mem,localmem,coalesced,atomic,F2:coalesced/mem,F4:comp/mem
0203f610afd2c3a440578c3f20ec4b21dc8b35bd.cl,A,0,1,2,0,2,0,1,0
0206ce5341bf47933d4686f4ca2c201939c22b94.cl,A,0,0,1,0,0,0,0,0
020709576dc009154ccf1d79f81455c150a69d3f.cl,A,0,0,2,0,1,0,0.5,0
0207d15d48ad04cece7a117b312a8583ecb7c81a.cl,A,4,1,5,0,5,0,1,0.8
0208798c3d6bb1d5e4b4a929ae6249efd4fa2b47.cl,A,0,1,2,0,2,0,1,0
02097bce9e0d7a2560fab4120d6e839d96502ff5.cl,A,4,2,1,0,1,0,1,4
020bbd98ac91adf6b6217bbac9184cc720e55177.cl,A,32760,2483192464,2483192418,32745,2483192512,2483192560,1,1.32e-05
020c136384b5c4680f6598ad9b1ab7e13c0943ee.cl,A,3,1,4,0,4,0,1,0.75
020c3563a996f436b39ede9938ae6e53115630f2.cl,A,0,1,3,0,2,0,0.667,0
020d01694beb94adceb947345db2ba9043da44a2.cl,A,2,1,3,0,2,0,0.667,0.667
020d113bb6d359cd95ba91c92485001e55366b30.cl,A,1,1,2,0,2,0,1,0.5
020f6f7821a9eaf5550eae1e3be25375805fc6a5.cl,A,0,1,3,0,2,0,0.667,0
0212c1efc0977b5520083e870a9ee77cd3d8da59.cl,A,0,2,3,0,3,0,1,0
021370a31226e62a5ec4f90fd972f44f3ad3e6a4.cl,A,0,1,2,0,2,0,1,0
02138dcf695e06696fe7ed14090c241306b73c68.cl,A,1,0,3,0,2,0,0.667,0.333
0213d4e9db658c7638144237e4c5fc3275134a53.cl,A,0,1,3,0,2,0,0.667,0
0215b1c135cb6a543cd38498921bc9a037370c20.cl,A,0,1,2,0,1,0,0.5,0
02162a758bf41e464cf8a67de4f0bbe04794a611.cl,A,3,1,4,0,4,0,1,0.75
0216f6f0cc2d9e834a063d54b519adba7556db92.cl,A,1,1,3,0,3,0,1,0.333
